"overfit" "underfit" "correct" "me" "se.me"
"AIC" 0.32453 0 0.67547 4.22988957402687 0.0102844105592890
"BIC" 0.13296 0 0.86704 3.67968047848158 0.00981126234174576
"BICg(g=0.5)" 0.17095 0 0.82905 3.83770358306938 0.0101058330496375
"BICg(g=1)" 0.23067 0 0.76933 4.07687646471454 0.0104489660037819
"BICq(q=0.15)" 0.02328 0 0.97672 3.18029148779206 0.0086310744442142
"BICq(q=0.25)" 0.04385 0 0.95615 3.29732918584474 0.00901361941343238
"BICq(q=0.75)" 0.42705 0 0.57295 4.43908036093772 0.0103126844157923
"BICq1" 0.03016 0 0.96984 3.22139887865682 0.00877419386353004
"BICq2" 0.03016 0 0.96984 3.22389115202081 0.00879868676656595
