"overfit" "underfit" "correct" "me" "se.me"
"AIC" 0.18733 0 0.81267 4.62223564589161 0.0101310873201489
"BIC" 0.07433 4e-05 0.92563 4.36232450654161 0.0100009557020372
"BICg(g=0.5)" 0.15677 2e-05 0.84321 4.56514127513738 0.0101243152285033
"BICg(g=1)" 0.37438 1e-05 0.62561 4.85033480603962 0.0101149628396547
"BICq(q=0.15)" 0.01234 0.00121 0.98645 4.14778529745897 0.0102801306027348
"BICq(q=0.25)" 0.02319 0.00048 0.97633 4.18295126997633 0.00999599215800104
"BICq(q=0.75)" 0.25572 0 0.74428 4.7257325803695 0.0101400491106237
"BICq1" 0.01587 9e-04 0.98323 4.15870076698658 0.0101676786823264
"BICq2" 0.01602 9e-04 0.98308 4.15955785773982 0.0101740973599770
