"overfit" "underfit" "correct" "me" "se.me"
"AIC" 0 7e-05 0.99993 5.00436954696513 0.0100239047118035
"BIC" 0 0.00073 0.99927 5.01422398805273 0.0101998377533432
"BICg(g=0.5)" 0 0.00012 0.99988 5.00506680031512 0.0100364121957509
"BICg(g=1)" 0 1e-05 0.99999 5.00357369986389 0.0100084553326420
"BICq(q=0.15)" 0 0.009 0.991 5.17567740467912 0.0123858922043547
"BICq(q=0.25)" 0 0.0042 0.9958 5.07784917567293 0.0111536872052078
"BICq(q=0.75)" 0 1e-05 0.99999 5.00357369986389 0.0100084553326420
"BICq1" 0 0.00661 0.99339 5.12597955061134 0.0117815711599254
"BICq2" 0 0.00661 0.99339 5.12597955061134 0.0117815711599254
