"overfit" "underfit" "correct" "me" "se.me"
"AIC" 0.43604 0 0.56396 3.82620480233429 0.0104359538730007
"BIC" 0.18536 0 0.81464 2.99560387018125 0.00969866224438621
"BICg(g=0.5)" 0.15521 0 0.84479 2.91266720185520 0.00975348011068082
"BICg(g=1)" 0.13398 0 0.86602 2.8668362276233 0.00989519361166625
"BICq(q=0.15)" 0.03215 0 0.96785 2.2526452692544 0.00781134458691706
"BICq(q=0.25)" 0.06066 0 0.93934 2.42105019584957 0.00841259242232091
"BICq(q=0.75)" 0.55918 0 0.44082 4.15281207929442 0.0104785592155629
"BICq1" 0.04128 0 0.95872 2.30976771469876 0.00803187106181055
"BICq2" 0.04128 0 0.95872 2.31752371686772 0.00811848405005686
